Server,Transactions
ieo2wlzsoax01/10.142.4.18/soa_server1,546464
Total,546464

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
11/07/2019,06:00,test111,SubscriptionManagement_V1_0.getSubscription,1,2849,2849,2849
11/07/2019,06:00,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,1,6016,6016,6016
11/07/2019,06:15,SFDC,AccountManagement_V1_0.createAccount,3,30562,31204,30957
11/07/2019,06:15,THBS,CheckNumber_V1_0.checkNumber,2,1331,1423,1377
11/07/2019,06:15,THBS,Communication_V1_0.notifyCustomer,3,1343,2088,1783
11/07/2019,06:15,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,4,1243,1436,1361
11/07/2019,06:15,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,2,1260,1377,1318
11/07/2019,06:15,THBS,ManagePrepaidCard_V1_0.depositToCard,1,1338,1338,1338
11/07/2019,06:15,THBS,ManagePrepaidCard_V1_0.merchantSale,4,899,1036,958
11/07/2019,06:15,THBS,ManagePrepaidCard_V1_0.validateCard,2,2151,2465,2308
11/07/2019,06:15,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,2,7260,7745,7502
11/07/2019,06:15,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,1,12018,12018,12018
11/07/2019,06:15,THBS,WirelineManagement_V1_0.changeContract,2,8483,10200,9342
11/07/2019,06:15,THBS,WirelineManagement_V1_0.changeSubscriber,4,8045,10207,9064
11/07/2019,06:15,THBS,WirelineManagement_V1_0.lineCapabilities,4,1757,2757,2224
11/07/2019,06:15,THBS,WirelineManagement_V1_0.lineOrderStatus,3,1564,2590,2227
11/07/2019,06:15,THBS,WirelineManagement_V1_0.orderFulfillment,2,8309,11074,9692
11/07/2019,06:15,THBS,WirelineManagement_V1_0.updateSubscriberDetails,2,8089,8634,8362
11/07/2019,06:15,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,2,7998,8563,8280
11/07/2019,06:15,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,2,8476,19672,14074
11/07/2019,06:15,UNKNOWN,ManageAddOn_1_0.addAddOn_2,3,16810,18458,17490
11/07/2019,06:15,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,1,12424,12424,12424
11/07/2019,06:15,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,3,13916,15118,14519
11/07/2019,06:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,1,1375,1375,1375
11/07/2019,06:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,2,2155,3176,2666
11/07/2019,06:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,2,281,426,354
11/07/2019,06:15,WorldPay,WorldPayNotification_V1_0.notify,3,6171,15542,12314
11/07/2019,06:15,crm,PaymentManagement_V1_0.getOrderKey,2,830,845,838
11/07/2019,06:15,crm,PaymentManagement_V1_0.payment,5,1106,1334,1193
11/07/2019,06:15,crm,PaymentManagement_V1_0.refund,1,1213,1213,1213
11/07/2019,06:15,soaag,ABOXManagement_V1_0.changeStatus,4,3499,7250,5314
11/07/2019,06:15,soaag,BalanceManagement_1_0.balanceTopUp,2,1432,1934,1683
11/07/2019,06:15,soaag,BillPaymentManagement_V1_0.billPayment,7,2239,16373,6761
11/07/2019,06:15,soaag,CreditVettingFraud_V1_0.cvfEligibityCheck,3,736,814,770
11/07/2019,06:15,soaag,CreditVettingFraud_V1_0.cvfEligibityStatus,2,4855,7351,6103
11/07/2019,06:15,soaag,CustomerCreation_V1_0.createAccount,3,1150,2081,1609
11/07/2019,06:15,soaag,IDMManagement_V1_0.getContacts,2,36363,37515,36939
11/07/2019,06:15,soaag,IDMManagement_V1_0.login,4,4774,15897,10555
11/07/2019,06:15,soaag,ManageTopUp_1_0.getCurrentBalance_1,5,787,1116,929
11/07/2019,06:15,soaag,ManageTopUp_1_0.topUpBillContract_1,4,2176,2704,2448
11/07/2019,06:15,soaag,ManageTopUp_1_0.topUp_2,1,1325,1325,1325
11/07/2019,06:15,soaag,ManageUpgrade_1_0.getUpgradeEligibility,3,5646,8184,7093
11/07/2019,06:15,soaag,PaymentManagement_V1_0.getTokenizedCard,2,25127,26518,25822
11/07/2019,06:15,soaag,PaymentManagement_V1_0.validateBankAccount,3,766,2140,1470
11/07/2019,06:15,thbs,AccountManagement_V1_0.getAccount,3,31527,32688,32291
11/07/2019,06:15,thbs,AccountManagement_V1_0.getContacts,2,6267,15861,11064
11/07/2019,06:15,thbs,BillingManagement_V1_0.billingAccount,3,789,953,867
11/07/2019,06:15,thbs,ContactManagement_V1_0.createContact,1,16229,16229,16229
11/07/2019,06:15,thbs,ContactManagement_V1_0.getContact,3,23504,24306,23976
11/07/2019,06:15,thbs,ContactManagement_V1_0.updateContact,3,14399,15720,15012
11/07/2019,06:15,thbs,CustomerBillManagement_V1_0.customerBill,1,2118,2118,2118
11/07/2019,06:15,thbs,GeographicSiteManagement_V1_0.geographicSite,3,17379,20963,19650
11/07/2019,06:15,thbs,ManageOrderShipment_V1_0.createShipment,4,1128,1437,1259
11/07/2019,06:15,thbs,NumberPortability_V1_0.portIn,1,1663,1663,1663
11/07/2019,06:15,thbs,OrderManagement_V1_0.updateOrderDetails,7,2068,3937,2638
11/07/2019,06:15,thbs,PartyInteractionManagement_V1_0.closeCustomerProblem,3,10501,16358,14280
11/07/2019,06:15,thbs,PartyInteractionManagement_V1_0.createPartyInteraction,4,11052,25331,16934
11/07/2019,06:15,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,1,10620,10620,10620
11/07/2019,06:15,thbs,PartyInteractionManagement_V1_0.reOpenCustomerProblem,2,15435,15956,15696
11/07/2019,06:15,thbs,ProductOrderingManagement_V1_0.createOrder,3,164,364,231
11/07/2019,06:15,thbs,ProductOrderingManagement_V1_0.getOrder,1,10939,10939,10939
11/07/2019,06:15,thbs,ProductOrderingManagement_V1_0.modifyOrder,14,8381,15433,13125
11/07/2019,06:15,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,3,31816,41417,35188
11/07/2019,06:15,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,3,26632,26904,26774
11/07/2019,06:15,thbs,ProfileAndPermissionsMgmt_V1_0.updatePermissions,2,35623,35689,35656
11/07/2019,06:15,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,1,41268,41268,41268
11/07/2019,06:15,thbs,SMSPermissionsMgmt_V1_0.updateKeywordPermissions,3,34607,37085,35796
11/07/2019,06:15,thbs,SubscriptionManagement_V1_0.changeStatus,3,3708,6875,5807
11/07/2019,06:15,thbs,SubscriptionManagement_V1_0.getAccount,2,31954,33427,32690
11/07/2019,06:15,thbs,SubscriptionManagement_V1_0.getContact,1,11218,11218,11218
11/07/2019,06:15,thbs,SubscriptionManagement_V1_0.getSubscription,3,18557,25556,22999
11/07/2019,06:15,thbs,SubscriptionManagement_V1_0.setContact,2,6390,6608,6499
11/07/2019,06:15,thbs,UsageConsumption_V1_0_Stubs.usageConsumptionReport,1,829,829,829
11/07/2019,06:15,three,ManagePrepaidBalance_1_0.lendMe,3,17292,17762,17493
11/07/2019,07:00,thbs,UsageConsumption_V1_0.usageConsumptionReport,2,242,1845,1044
11/07/2019,07:15,thbs,ProductOrderingManagement_V1_0.getOrder,2,8318,9633,8976
11/07/2019,07:15,thbs,UsageConsumption_V1_0.usageConsumptionReport,4,189,230,208
11/07/2019,07:30,THBS,ProductOfferingQualification_V1_0.getProductOfferingQualification,3,2508,9791,5368
11/07/2019,07:45,THBS,CheckNumber_V1_0.checkNumber,1,2396,2396,2396
11/07/2019,07:45,THBS,Communication_V1_0.notifyCustomer,1,1130,1130,1130
11/07/2019,07:45,THBS,ProductOfferingQualification_V1_0.checkProductOfferingQualification,1,2267,2267,2267
11/07/2019,07:45,THBS,ProductOfferingQualification_V1_0.getProductOfferingQualification,38,486,12754,4682
11/07/2019,07:45,test11,CreditVettingFraud_V1_0.cvfEligibityCheck,1,718,718,718
11/07/2019,07:45,thbs,ProductOrderingManagement_V1_0.createOrder,1,174,174,174
11/07/2019,07:45,thbs,ProductOrderingManagement_V1_0.getOrder,1,7509,7509,7509
11/07/2019,08:00,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,2,3241,3258,3250
11/07/2019,08:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,2,1215,1258,1236
11/07/2019,08:00,soaag,ManageUpgrade_1_0.getUpgradeEligibility,1,2588,2588,2588
11/07/2019,08:15,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,3,3207,3281,3241
11/07/2019,08:15,soaag,AmountCharging_1_0.chargeAmount,1,999,999,999
11/07/2019,08:15,soaag,IDMManagement_V1_0.login,2,2059,2421,2240
11/07/2019,08:30,THBS,AccountManagement_V1_0.getContacts,7,2039,6442,3736
11/07/2019,08:30,THBS,CheckNumber_V1_0.checkNumber,4,5776,8612,6512
11/07/2019,08:30,THBS,Communication_V1_0.notifyCustomer,8,1102,12967,3905
11/07/2019,08:30,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,9,1187,71678,17158
11/07/2019,08:30,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,1,8243,8243,8243
11/07/2019,08:30,THBS,ManagePrepaidCard_V1_0.depositToCard,11,978,53485,18227
11/07/2019,08:30,THBS,ManagePrepaidCard_V1_0.merchantSale,10,916,65140,29545
