Server,Transactions
ieo2wlzsoax01/10.142.4.18/soa_server1,35657
Total,35657

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
24/06/2019,18:30,SFDC,AccountManagement_V1_0.createAccount,10,267,3554,740
24/06/2019,18:30,THBS,CheckNumber_V1_0.checkNumber,24,144,1706,307
24/06/2019,18:30,THBS,Communication_V1_0.notifyCustomer,395,1041,3044,1116
24/06/2019,18:30,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,22,1101,1116,1108
24/06/2019,18:30,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,12,1065,1106,1077
24/06/2019,18:30,THBS,ManagePrepaidCard_V1_0.depositToCard,10,916,1281,958
24/06/2019,18:30,THBS,ManagePrepaidCard_V1_0.merchantSale,9,781,1207,834
24/06/2019,18:30,THBS,ManagePrepaidCard_V1_0.validateCard,12,1882,1911,1891
24/06/2019,18:30,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,5,167,1259,419
24/06/2019,18:30,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,38,157,4779,884
24/06/2019,18:30,THBS,WirelineManagement_V1_0.changeContract,5,166,267,208
24/06/2019,18:30,THBS,WirelineManagement_V1_0.changeSubscriber,3,160,367,240
24/06/2019,18:30,THBS,WirelineManagement_V1_0.createMemo,2,126,128,127
24/06/2019,18:30,THBS,WirelineManagement_V1_0.lineCapabilities,2,1178,1236,1207
24/06/2019,18:30,THBS,WirelineManagement_V1_0.orderFulfillment,7,150,295,204
24/06/2019,18:30,THBS,WirelineManagement_V1_0.updateSubscriberDetails,9,167,633,282
24/06/2019,18:30,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,87,186,2249,402
24/06/2019,18:30,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,67,524,5110,849
24/06/2019,18:30,UNKNOWN,ManageAddOn_1_0.addAddOn_2,6,1500,2134,1850
24/06/2019,18:30,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,6,1003,1723,1288
24/06/2019,18:30,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,6,450,827,594
24/06/2019,18:30,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,8,218,345,256
