Server,Transactions
ieo2wlzsoax02/10.142.4.19/soa_server2,439
Total,439

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
03/09/2019,07:00,THBS,SubscriptionManagement_V1_0.getAccount,1,5194,5194,5194
03/09/2019,07:00,test11,ProductOrderingManagement_V1_0.getOrder,1,7507,7507,7507
03/09/2019,07:00,thbs,SubscriptionManagement_V1_0.getSubscription,1,3658,3658,3658
03/09/2019,07:15,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,56,644,3257,1825
03/09/2019,07:30,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,5,1434,3159,2302
03/09/2019,10:30,test11,SubscriptionManagement_V1_0.getSubscription,76,539,3858,1196
03/09/2019,10:45,test11,SubscriptionManagement_V1_0.getSubscription,77,533,4437,1005
03/09/2019,10:45,thbs,ProductOrderingManagement_V1_0.modifyOrder,1,6560,6560,6560
03/09/2019,12:00,test11,SubscriptionManagement_V1_0.getSubscription,80,498,2375,727
03/09/2019,13:30,THBS,SubscriptionManagement_V1_0.getAccount,1,907,907,907
03/09/2019,14:00,UNKNOWN,ManageAddOn_1_0.addAddOn_2,1,5473,5473,5473
03/09/2019,14:00,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,32,816,5771,2290
03/09/2019,14:00,test11,SubscriptionManagement_V1_0.getSubscription,99,473,3927,827
03/09/2019,14:15,test11,SubscriptionManagement_V1_0.getSubscription,1,1515,1515,1515
03/09/2019,14:30,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,4,1665,2065,1896
03/09/2019,14:45,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,3,849,1331,1114

Service Name,Cache hits,Cache misses,%ge of hit 

Date,Time,Service,Error,Count
03/09/2019,07:00,SubscriptionManagement_V1_0.getContact,subscriptionmanagement-54-3601-E,1
03/09/2019,07:00,SubscriptionManagement_V1_0.setContact,subscriptionmanagement-54-3613-E,2
03/09/2019,07:15,ManageAddOn_1_0.removeAddOn_2,manageaddon-3-3017-E,11
03/09/2019,07:15,ManageAddOn_1_0.removeAddOn_2,manageaddon-3-3612-E,11
03/09/2019,07:15,ManageAddOn_1_0.removeAddOn_2,manageaddon-3-3613-E,14
03/09/2019,07:30,ManageAddOn_1_0.removeAddOn_2,manageaddon-3-3017-E,1
03/09/2019,10:30,SubscriptionManagement_V1_0.getSubscription,subscriptionmanagement-54-3601-E,15
03/09/2019,10:30,SubscriptionManagement_V1_0.getSubscription,subscriptionmanagement-54-3613-E,1
03/09/2019,10:30,SubscriptionManagement_V1_0.getSubscription,subscriptionmanagement-54-3999-E,1
03/09/2019,10:45,SubscriptionManagement_V1_0.getSubscription,subscriptionmanagement-54-3601-E,13
03/09/2019,10:45,SubscriptionManagement_V1_0.getSubscription,subscriptionmanagement-54-3613-E,1
03/09/2019,10:45,SubscriptionManagement_V1_0.getSubscription,subscriptionmanagement-54-3999-E,1
03/09/2019,12:00,SubscriptionManagement_V1_0.getSubscription,subscriptionmanagement-54-3601-E,13
03/09/2019,13:30,SubscriptionManagement_V1_0.getAccount,subscriptionmanagement-54-3601-E,1
03/09/2019,14:00,ManageAddOn_1_0.addAddOn_2,manageaddon-3-3613-E,4
03/09/2019,14:00,ManageAddOn_1_0.removeAddOn_2,manageaddon-3-3017-E,9
03/09/2019,14:00,ManageAddOn_1_0.removeAddOn_2,manageaddon-3-3613-E,12
