Server,Transactions
ieo2wlzsoax02/10.142.4.19/soa_server2,301080
Total,301080

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
12/09/2019,07:00,soaag,PaymentManagement_V1_0.validateBankAccount,1,530,530,530
12/09/2019,07:15,THBS,CheckNumber_V1_0.checkNumber,5,757,4723,1650
12/09/2019,07:15,THBS,Communication_V1_0.notifyCustomer,23,1085,3984,1541
12/09/2019,07:15,oxygen8,Charge_1_0.directDebit,3,1201,1411,1292
12/09/2019,07:15,soaag,PaymentManagement_V1_0.validateBankAccount,1,645,645,645
12/09/2019,07:15,test111,AmountCharging_1_0.chargeAmount,7,763,2254,1004
12/09/2019,07:15,test111,AmountCharging_1_0.refundAmount,2,458,617,538
12/09/2019,07:15,test111,BalanceManagement_1_0.balance,3,557,564,560
12/09/2019,07:15,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,25,49,941,118
12/09/2019,07:15,thbs,CheckTransaction_V1_0.checkTransaction,4,1176,4466,2053
12/09/2019,07:15,thbs,OrderManagement_V1_0.updateOrderDetails,3,2174,3409,2996
12/09/2019,07:15,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,1,5882,5882,5882
12/09/2019,07:15,thbs,ProductOrderingManagement_V1_0.getOrder,3,2417,3083,2659
12/09/2019,07:15,thbs,ProductOrderingManagement_V1_0.modifyOrder,1,4160,4160,4160
12/09/2019,07:15,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,12,3430,10099,4553
12/09/2019,07:15,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,5,3203,10935,6977
12/09/2019,07:15,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,1,5871,5871,5871
12/09/2019,07:15,thbs,SubscriptionManagement_V1_0.getAccount,5,2281,7822,5140
12/09/2019,07:15,thbs,SubscriptionManagement_V1_0.getSubscription,7,2678,5680,3206
12/09/2019,07:15,worldPay,WorldPayNotification_V1_0.notify,8,122,1669,352
12/09/2019,07:30,SFDC,AccountManagement_V1_0.createAccount,16,3421,4715,3569
12/09/2019,07:30,THBS,CheckNumber_V1_0.checkNumber,23,625,2729,1067
12/09/2019,07:30,THBS,Communication_V1_0.notifyCustomer,205,1078,1761,1096
12/09/2019,07:30,oxygen8,Charge_1_0.directDebit,28,1090,2574,1225
12/09/2019,07:30,soaag,PaymentManagement_V1_0.validateBankAccount,9,604,969,663
12/09/2019,07:30,test111,AmountCharging_1_0.chargeAmount,92,714,1970,766
12/09/2019,07:30,test111,AmountCharging_1_0.refundAmount,20,369,481,430
12/09/2019,07:30,test111,BalanceManagement_1_0.balance,28,538,613,564
12/09/2019,07:30,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,11,3143,3313,3182
12/09/2019,07:30,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,154,45,131,61
12/09/2019,07:30,thbs,BillingManagement_V1_0.billingAccount,11,625,712,654
12/09/2019,07:30,thbs,CheckTransaction_V1_0.checkTransaction,45,1128,1516,1193
12/09/2019,07:30,thbs,OrderManagement_V1_0.updateOrderDetails,25,2099,2885,2168
12/09/2019,07:30,thbs,ProductOrderingManagement_V1_0.getOrder,14,2226,2743,2343
12/09/2019,07:30,thbs,ProductOrderingManagement_V1_0.modifyOrder,10,4068,4162,4097
12/09/2019,07:30,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,102,3364,4924,3474
12/09/2019,07:30,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,40,3114,3849,3250
12/09/2019,07:30,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,5,4031,5065,4314
12/09/2019,07:30,thbs,SubscriptionManagement_V1_0.getAccount,25,2164,2509,2247
12/09/2019,07:30,thbs,SubscriptionManagement_V1_0.getSubscription,57,2625,4055,2768
12/09/2019,07:30,worldPay,WorldPayNotification_V1_0.notify,68,108,207,131
12/09/2019,08:45,thbs,ProductOrderingManagement_V1_0.modifyOrder,3,1098,3257,2492
12/09/2019,09:30,thbs,ProductOrderingManagement_V1_0.modifyOrder,403,653,7252,1097
12/09/2019,09:45,thbs,ContactManagement_V1_0.getContact,1,2327,2327,2327
12/09/2019,10:00,thbs,SubscriptionManagement_V1_0.getSubscription,3,810,933,873
12/09/2019,10:15,soaag,IDMManagement_V1_0.getContacts,426,685,5138,973
12/09/2019,10:15,soaag,IDMManagement_V1_0.login,2411,131,3040,204
12/09/2019,10:15,thbs,PartyInteractionManagement_V1_0.closeCustomerProblem,1,840,840,840
12/09/2019,10:30,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,14,152,294,226
12/09/2019,10:30,soaag,ManageUpgrade_1_0.getUpgradeEligibility,1,3433,3433,3433
12/09/2019,10:30,thbs,PartyInteractionManagement_V1_0.reOpenCustomerProblem,2,633,891,762
12/09/2019,10:30,thbs,ProductOrderingManagement_V1_0.modifyOrder,127,502,11138,1429
12/09/2019,10:30,three,ManagePrepaidBalance_1_0.lendMe,1,18462,18462,18462
12/09/2019,10:45,thbs,ProductOrderingManagement_V1_0.modifyOrder,12,739,1875,1164
12/09/2019,11:00,THBS,CheckNumber_V2_0.checkNumber,1,732,732,732
12/09/2019,11:00,soaag,IDMManagement_V1_0.getContacts,2,815,931,873
12/09/2019,11:00,soaag,IDMManagement_V1_0.login,21,170,1561,456
12/09/2019,11:00,test11,Communication_V1_0.notifyCustomer,4,1062,1086,1075
12/09/2019,11:00,test11,ProductOrderingManagement_V1_0.getOrder,25,592,6092,2187
12/09/2019,11:00,thbs,ContactManagement_V1_0.getContact,32,274,5160,854
12/09/2019,11:00,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,70,523,6966,1954
12/09/2019,11:00,thbs,SubscriptionManagement_V1_0.getContact,20,180,807,334
12/09/2019,11:15,THBS,Communication_V1_0.notifyCustomer,10,1102,1137,1117
12/09/2019,11:15,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,6,1146,1184,1166
12/09/2019,11:15,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,2,1127,1127,1127
12/09/2019,11:15,THBS,ManagePrepaidCard_V1_0.depositToCard,1,963,963,963
12/09/2019,11:15,THBS,ManagePrepaidCard_V1_0.merchantSale,1,831,831,831
12/09/2019,11:15,THBS,ManagePrepaidCard_V1_0.validateCard,1,1944,1944,1944
12/09/2019,11:15,THBS,ProductOfferingQualification_V1_0.getProductOfferingQualification,4,6372,9882,7511
12/09/2019,11:15,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,12,866,1638,1116
12/09/2019,11:15,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,1,3369,3369,3369
12/09/2019,11:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,1,1198,1198,1198
12/09/2019,11:15,abc,WirelineManagement_V1_0.lineOrderStatus,1,1953,1953,1953
12/09/2019,11:15,crm,PaymentManagement_V1_0.getOrderKey,7,785,812,800
12/09/2019,11:15,crm,PaymentManagement_V1_0.payment,17,1079,1139,1105
12/09/2019,11:15,soaag,BalanceManagement_1_0.balanceTopUp,92,706,3920,929
12/09/2019,11:15,soaag,CustomerCreation_V1_0.createAccount,1,1009,1009,1009
12/09/2019,11:15,soaag,IDMManagement_V1_0.getContacts,18,846,1768,1078
12/09/2019,11:15,soaag,IDMManagement_V1_0.login,165,134,717,211
12/09/2019,11:15,soaag,ManageTopUp_1_0.getCurrentBalance_1,47,114,1846,250
12/09/2019,11:15,soaag,ManageTopUp_1_0.getTopUpHistory_1,48,213,1963,495
12/09/2019,11:15,soaag,ManageTopUp_1_0.topUp_2,46,853,1656,1027
12/09/2019,11:15,soaag,ManageUpgrade_1_0.getUpgradeEligibility,5,1605,3577,2495
12/09/2019,11:15,soaag,PaymentManagement_V1_0.validateBankAccount,1,526,526,526
12/09/2019,11:15,test11,Communication_V1_0.notifyCustomer,57,1050,3684,1183
12/09/2019,11:15,test11,ProductOrderingManagement_V1_0.getOrder,169,476,1737,847
12/09/2019,11:15,test11,SubscriptionManagement_V1_0.getAccount,14,384,908,623
12/09/2019,11:15,thbs,BillingManagement_V1_0.billingAccount,2,3667,3683,3675
12/09/2019,11:15,thbs,ContactManagement_V1_0.createContact,12,1977,3091,2297
12/09/2019,11:15,thbs,ContactManagement_V1_0.getContact,204,240,1173,362
12/09/2019,11:15,thbs,CustomerBillManagement_V1_0.customerBill,2,1108,1159,1134
12/09/2019,11:15,thbs,ManageOrderShipment_V1_0.createShipment,3,1090,1099,1096
12/09/2019,11:15,thbs,ProductOfferingQualification_V1_0.getProductOfferingQualification,1,7152,7152,7152
12/09/2019,11:15,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,456,486,2776,664
12/09/2019,11:15,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,1,4906,4906,4906
12/09/2019,11:15,thbs,SubscriptionManagement_V1_0.getContact,154,148,1032,218
12/09/2019,11:15,worldPay,WorldPayNotification_V1_0.notify,8,292,1382,566
12/09/2019,11:30,soaag,ReserveAmountCharging_1_0.chargeReservation,11,382,557,466
12/09/2019,11:30,soaag,ReserveAmountCharging_1_0.releaseReservation,3,308,347,331
12/09/2019,11:30,soaag,ReserveAmountCharging_1_0.reserveAmount,24,347,683,452
12/09/2019,11:30,test11,NumberPortability_V1_0.portIn,1,256,256,256
12/09/2019,11:30,test111,OrderManagement_V1_0.updateOrderDetails,1,2290,2290,2290
12/09/2019,11:30,thbs,NumberPortability_V1_0.portIn,1,460,460,460
12/09/2019,11:30,thbs,SubscriptionManagement_V1_0.changeStatus,1,693,693,693
12/09/2019,11:45,THBS,CheckNumber_V2_0.checkNumber,1,736,736,736
12/09/2019,11:45,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,8,869,1490,1076
12/09/2019,11:45,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,1,1355,1355,1355
12/09/2019,11:45,WorldPay,WorldPayNotification_V1_0.notify,1,1865,1865,1865
12/09/2019,11:45,soaag,CreditVettingFraud_V1_0.cvfEligibityStatus,1,3233,3233,3233
12/09/2019,11:45,soaag,ManageTopUp_1_0.getTopUpHistory_1,8,338,970,451
12/09/2019,11:45,soaag,ManageTopUp_1_0.topUpBillContract_1,1,2147,2147,2147
