
SunOS ieo2wlzsoax02 5.10 Generic_150400-10 sun4v    06/20/2019

00:00:00    %usr    %sys    %wio   %idle
01:00:00       1       1       0      98
02:00:00       1       1       0      98
03:00:00       1       1       0      98
04:00:00       1       1       0      98
05:00:01       1       1       0      98
06:00:00       1       1       0      98
07:00:01       1       1       0      98
08:00:00       1       1       0      98
08:20:00       3       1       0      96
08:40:00       3       1       0      96
09:00:00       2       0       0      98
09:20:00       1       0       0      98
09:40:00       1       0       0      99
10:00:01       3       1       0      97
10:20:00       2       1       0      98
10:40:00       1       0       0      99
11:00:00       1       0       0      98
11:20:00       4       1       0      96
11:40:00       2       0       0      97
12:00:00       2       1       0      97
12:20:00       7       1       0      92
12:40:00      10       1       0      89
13:00:00      11       1       0      88
13:20:00      12       1       0      87
13:40:01      11       1       0      88
14:00:00       9       1       0      90
14:20:00       2       1       0      98
14:40:00       2       1       0      98
15:00:00       1       1       0      98
15:20:00       1       1       0      99
15:40:00       1       1       0      99
16:00:01       1       1       0      99
16:20:00       1       1       0      99
16:40:00       1       1       0      99
17:00:00       1       1       0      99
17:20:01       1       1       0      99
17:40:00       1       1       0      99
18:00:00       1       1       0      99
19:00:00       1       1       0      99
20:00:00       1       1       0      99
21:00:00       1       1       0      99
22:00:00       1       1       0      99
23:00:00       1       1       0      98

Average        2       1       0      97

00:00:00   device        %busy   avque   r+w/s  blks/s  avwait  avserv

01:00:00   md0               0     0.0       0       0     0.0    11.8
           md1               0     0.0       0       0     0.0    11.8
           md2               0     0.0       0       0     0.0     0.0
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              0     0.0       0       1    10.1    11.9
           md31              0     0.0       0       1     0.0    10.7
           md32              0     0.0       0       1     0.0    10.7
           md40              0     0.0       0       0     0.0     0.0
           md41              0     0.0       0       0     0.0     0.0
           md42              0     0.0       0       0     0.0     0.0
           md50              0     0.0       0       2     0.0    10.6
           md51              0     0.0       0       2     0.0    10.5
           md52              0     0.0       0       0     0.0     0.0
           md60              2     0.1       4      52     3.7    11.2
           md61              1     0.0       3      51     0.0     9.8
           md62              1     0.0       3      51     0.0     9.8
           md65              1     0.0       2      27     0.0    16.3
           md66              1     0.0       2      25     0.0    13.8
           md100             0     0.0       0       0     0.0     0.0
           md200             0     0.0       0       0     0.0     0.0
           md300             0     0.0       0       0     0.0     0.0
           sd5.t1.m          0     0.0   17604  199033     0.0     0.0
           sd6.t2.m          0     0.0   16546  192911     0.0     0.0
           nfs1              0     0.0       0       0     0.0     0.0
           sd4               0     0.0       0       0     0.0     0.0
           sd5               3     0.1       5      55     0.0    10.8
           sd5,a             0     0.0       0       0     0.0    11.4
           sd5,b             0     0.0       0       0     0.0     0.0
           sd5,c             0     0.0      12       2     0.0     0.0
           sd5,d             0     0.0       0       1     0.0    10.7
           sd5,e             0     0.0       0       0     0.0     0.0
           sd5,f             0     0.0       0       2     0.0    10.5
           sd5,g             1     0.0       3      51     0.0     9.8
           sd5,h             1     0.0       1       1     0.0    14.9
           sd6               2     0.0       5      53     0.0    10.8
           sd6,a             0     0.0       6       2     0.0     0.0
           sd6,b             0     0.0       0       0     0.0     0.0
           sd6,c             0     0.0      12       2     0.0     0.0
           sd6,d             0     0.0       0       1     0.0    10.7
           sd6,e             0     0.0       0       0     0.0     0.0
           sd6,f             0     0.0       0       0     0.0     0.0
           sd6,g             1     0.0       3      51     0.0     9.8
           sd6,h             1     0.0       1       1     0.0    14.5
           sd7               0     0.0       0       0     0.0     0.0
           ehci0,bu          0     0.0       0       0     0.0     0.0
           ehci0,ct          0     0.0       0       0     0.0     0.0
           ehci0,in          0     0.0       0       0     0.0     0.0
           ehci0,is          0     0.0       0       0     0.0     0.0
