Server,Transactions
ieo2wlzsoax02/10.142.4.19/soa_server2,175169
Total,175169

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
26/06/2019,05:00,SFDC,AccountManagement_V1_0.createAccount,10,328,20029,4322
26/06/2019,05:00,THBS,CheckNumber_V1_0.checkNumber,6,339,14929,2910
26/06/2019,05:00,THBS,Communication_V1_0.notifyCustomer,9,1148,1750,1243
26/06/2019,05:00,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,13,1123,2490,1338
26/06/2019,05:00,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,7,1134,2424,1446
26/06/2019,05:00,THBS,ManagePrepaidCard_V1_0.depositToCard,11,951,1567,1031
26/06/2019,05:00,THBS,ManagePrepaidCard_V1_0.merchantSale,10,812,888,848
26/06/2019,05:00,THBS,ManagePrepaidCard_V1_0.validateCard,7,1927,3053,2402
26/06/2019,05:00,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,8,258,15504,2217
26/06/2019,05:00,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,9,283,13390,2785
26/06/2019,05:00,THBS,WirelineManagement_V1_0.changeContract,6,286,12513,2356
26/06/2019,05:00,THBS,WirelineManagement_V1_0.changeSubscriber,12,261,14435,2348
26/06/2019,05:00,THBS,WirelineManagement_V1_0.createMemo,8,146,2156,448
26/06/2019,05:00,THBS,WirelineManagement_V1_0.lineCapabilities,10,1210,13351,2613
26/06/2019,05:00,THBS,WirelineManagement_V1_0.lineOrderStatus,8,1293,17603,3444
26/06/2019,05:00,THBS,WirelineManagement_V1_0.orderFulfillment,12,233,15964,2796
26/06/2019,05:00,THBS,WirelineManagement_V1_0.updateSubscriberDetails,11,223,15980,1917
26/06/2019,05:00,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,11,268,15382,2070
26/06/2019,05:00,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,15,608,15143,2018
26/06/2019,05:00,UNKNOWN,ManageAddOn_1_0.addAddOn_2,7,1302,22675,5872
26/06/2019,05:00,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,8,1293,3174,1956
26/06/2019,05:00,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,8,578,19829,3447
26/06/2019,05:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,9,269,470,387
26/06/2019,05:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,13,258,2002,628
26/06/2019,05:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,7,111,7555,1209
26/06/2019,05:00,crm,PaymentManagement_V1_0.getOrderKey,11,771,2326,946
26/06/2019,05:00,crm,PaymentManagement_V1_0.payment,12,1079,1392,1124
26/06/2019,05:00,crm,PaymentManagement_V1_0.refund,10,176,1502,846
26/06/2019,05:00,nokia,ManageHandsetDetails_1_0_Stubs.trigger,10,151,7155,1112
26/06/2019,05:00,soaag,ABOXManagement_V1_0.changeStatus,15,201,15488,1636
26/06/2019,05:00,soaag,BalanceManagement_1_0.balanceTopUp,10,390,640,454
26/06/2019,05:00,soaag,BillPaymentManagement_V1_0.billPayment,15,198,8885,1767
26/06/2019,05:00,soaag,CreditVettingFraud_V1_0.cvfEligibityCheck,10,712,855,762
26/06/2019,05:00,soaag,CreditVettingFraud_V1_0.cvfEligibityStatus,9,263,17693,3979
26/06/2019,05:00,soaag,CreditVettingFraud_V1_0.updateCreditDetails,12,75,786,207
26/06/2019,05:00,soaag,CustomerCreation_V1_0.createAccount,13,1055,2711,1443
26/06/2019,05:00,soaag,IDMManagement_V1_0.getContacts,5,2433,21185,7181
26/06/2019,05:00,soaag,IDMManagement_V1_0.login,12,245,13754,2120
26/06/2019,05:00,soaag,ManageTopUp_1_0.getCurrentBalance_1,8,139,262,196
26/06/2019,05:00,soaag,ManageTopUp_1_0.getTopUpHistory_1,10,382,505,438
26/06/2019,05:00,soaag,ManageTopUp_1_0.topUpBillContract_1,12,527,2480,956
26/06/2019,05:00,soaag,ManageTopUp_1_0.topUp_2,14,245,1608,629
26/06/2019,05:00,soaag,ManageUpgrade_1_0.getUpgradeEligibility,9,177,15282,3665
26/06/2019,05:00,soaag,PaymentManagement_V1_0.getTokenizedCard,16,454,19708,5560
26/06/2019,05:00,soaag,PaymentManagement_V1_0.validateBankAccount,7,122,534,271
26/06/2019,05:00,thbs,AccountManagement_V1_0.getAccount,8,710,16233,3047
26/06/2019,05:00,thbs,AccountManagement_V1_0.getContacts,12,409,19702,3654
26/06/2019,05:00,thbs,BillingManagement_V1_0.billingAccount,11,124,219,172
26/06/2019,05:00,thbs,ContactManagement_V1_0.createContact,14,224,2324,611
26/06/2019,05:00,thbs,ContactManagement_V1_0.getContact,12,277,17437,2038
26/06/2019,05:00,thbs,ContactManagement_V1_0.updateContact,7,236,15202,2578
26/06/2019,05:00,thbs,CustomerBillManagement_V1_0.customerBill,10,139,3703,959
26/06/2019,05:00,thbs,GeographicSiteManagement_V1_0.geographicSite,8,829,20540,4060
26/06/2019,05:00,thbs,ManageOrderShipment_V1_0.createShipment,7,1069,1154,1112
26/06/2019,05:00,thbs,NumberPortability_V1_0.portIn,6,189,289,250
26/06/2019,05:00,thbs,OrderManagement_V1_0.updateOrderDetails,8,131,2005,775
26/06/2019,05:00,thbs,PartyInteractionManagement_V1_0.closeCustomerProblem,6,326,13380,2658
26/06/2019,05:00,thbs,PartyInteractionManagement_V1_0.createPartyInteraction,26,276,18653,2569
26/06/2019,05:00,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,9,289,2127,706
26/06/2019,05:00,thbs,PartyInteractionManagement_V1_0.reOpenCustomerProblem,7,307,15947,2735
26/06/2019,05:00,thbs,ProductOrderingManagement_V1_0.createOrder,12,123,1510,337
26/06/2019,05:00,thbs,ProductOrderingManagement_V1_0.getOrder,14,212,17797,1605
26/06/2019,05:00,thbs,ProductOrderingManagement_V1_0.modifyOrder,53,225,20017,2101
26/06/2019,05:00,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,15,1405,20855,5830
26/06/2019,05:00,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,6,1188,20307,5013
26/06/2019,05:00,thbs,ProfileAndPermissionsMgmt_V1_0.updatePermissions,12,1289,21557,5184
26/06/2019,05:00,thbs,SubscriptionManagement_V1_0.changeStatus,5,246,18457,6559
26/06/2019,05:00,thbs,SubscriptionManagement_V1_0.getAccount,12,652,20951,3047
