Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
SubscriptionManagement_V1_0_setContact,15313,1022,445,1139,1886,16290,112,56348,0.405%,2.12523,1.08,1.20
ContactManagement_V1_0_getContact,11984,2604,1305,4220,5432,24577,276,60410,5.365%,1.66333,2.05,0.44
BalanceManagement_1_0_balanceTopUp,15931,1775,1314,2005,3185,16439,978,60593,0.132%,2.21158,2.71,3.23
ProductOrderingManagement_V1_0_getOrder,20569,3804,2730,3805,6588,33002,2681,65134,0.637%,2.85422,2.73,0.78
Communication_V1_0.notifyCustomer,12744,1783,1119,1742,3915,18437,917,63687,0.055%,1.76970,0.97,3.20
SubscriptionManagement_V1_0_getContact,23139,4301,2950,5592,8780,33896,42,67226,5.545%,3.21036,3.73,0.88
IDMManagement_V1_0_login,24288,2039,714,3307,5650,31518,88,65457,4.401%,3.37104,12.34,3.81
ManageTopup_1_0_topUp_2,6622,1780,1098,2004,4111,18674,984,60956,0.151%,.92049,0.95,1.22
ProfileAndPermissionsMgmt_V1_0_getPermissions,27266,7130,5269,9972,14701,37933,861,73694,11.259%,3.78330,4.00,1.06
ManageTopup_1_0_getCurrentBalance,6267,1442,653,1645,3553,21097,632,57508,0.128%,.87128,0.98,0.89
PartyInteractionManagement_V1_0_getPartyInteraction,5406,4996,3815,7947,13138,37112,400,69833,5.642%,.75041,1.06,0.22
ManageTopup_1_0_getTopupHistory,6316,1751,930,1925,4223,23196,789,61276,0.237%,.87822,1.14,0.87
CreditVettingFraud_V1_0_cvfEligibityStatus,2945,4683,3226,4559,10714,36303,819,61127,0.985%,.40900,0.34,0.66
SubscriptionManagement_V1_0_getAccount,2248,8239,5205,13082,23684,40580,879,64162,6.762%,.31223,0.56,0.09
CreditVettingFraud_cvfEligibityCheck,2742,1871,959,1956,5171,23961,397,58589,0.182%,.38116,0.42,1.88
AccountManagement_V1_0_getAccount,2227,7428,4619,12572,19882,37038,344,62124,5.388%,.30939,0.55,0.08
CVFDocumentVerification_V1_0_cvfDocumentStatus,2420,4762,3212,4945,10964,37961,3171,62916,1.074%,.33641,0.28,0.31
AmountCharging_1_0_chargeAmount,2381,1673,782,1785,4298,22700,743,63495,0.126%,.33108,0.30,0.52
IDMManagement_V1_0_getContacts,2149,12729,8662,20965,32589,51048,896,75643,8.795%,.29822,0.81,0.31
PartyInteractionManagement_V1_0_createInteraction_Fusion_Flow,2186,3288,1295,4485,13065,35314,535,62585,5.169%,.30400,0.16,0.24
ManageHandsetDetails_1_0_trigger,3407,1057,162,1183,4543,21389,131,57625,0.000%,.47396,0.34,0.77
ManageAccount_1_0_getAccountDetails_2,2085,5740,3788,8083,18823,37470,1064,65462,5.707%,.28994,0.58,0.22
SubscriptionManagement_V1_0_getSubscription,2009,5540,3649,7649,18051,36968,1024,65592,5.525%,.27929,0.75,0.08
AccountManagement_V1_0_getContacts,2013,3292,1619,5714,11348,32635,331,58716,3.875%,.28001,0.54,0.07
PaymentManagement_V1_0_getOrderKey,2164,1701,803,1800,4578,23234,785,60382,0.185%,.30101,0.29,0.74
PaymentManagement_V1_0_payment,3142,2028,1134,2120,5149,23621,1114,60097,0.095%,.43708,0.33,0.83
ProfileAndPermissionsMgmt_V1_0_getProfile,1561,5724,3466,8139,18518,37971,1186,63554,5.701%,.21718,0.24,0.06
WorldPayNotification_V1_0_notify,1652,1197,372,1134,4125,19874,336,49629,0.000%,.23004,0.04,0.76
ProfileAndPermissionsMgmt_V1_0_updatePermissions,1761,10391,6820,16905,32078,52326,1172,70476,7.609%,.24465,0.14,0.28
UsageConsumption_V1_0_usageConsumptionReport ,1144,1574,495,1507,5422,30716,460,57638,0.350%,.15940,0.49,0.05
PartyInteractionManagement_V1_0_closedCustomerProblem,1197,6221,3827,8581,23483,41780,472,65887,6.099%,.16672,0.06,0.09
ProductOfferingQualification_V1_0_getProductOfferingQualification,987,7056,5524,9696,15743,37546,3682,68469,1.317%,.13749,2.48,0.05
PartyInteractionManagement_V1_0_createInteraction_CustomerProblem_Flow,1070,5479,2466,10460,20143,35075,642,56350,6.262%,.14917,0.11,0.11
NumberPortability_V1_0_portIn,365,2524,1610,2244,4871,20364,1581,55946,0.548%,.05090,0.02,0.03
ABOXManagement_V1_0_changeStatus,171,2252,1201,2252,7717,25053,1145,33156,1.170%,.02387,0.02,0.03
WirelineManagement_V1_0_updateSubscriberDetails,158,5692,4254,5565,8893,31718,4207,56821,1.266%,.02205,0.01,0.01
ManagePrepaidCard_V1_0_cardEnquiryMobile,765,2072,1169,2150,4821,22835,1145,55135,0.131%,.10683,0.11,0.03
ProductOrderingManagement_V1_0_modifyOrder_ADD,362,7390,4591,9353,19672,64401,4530,70117,1.657%,.05043,0.02,0.03
ContactManagement_V1_0_createContact,2063,3979,1755,5329,13993,39412,460,59859,5.962%,.28697,0.17,0.65
PaymentManagement_V1_0_validateBankAccount,173,1837,667,1677,2567,32719,632,53175,0.578%,.02415,0.02,0.03
ManageUpgrade_1_0_getUpgradeEligibility,644,6058,3179,5586,12820,57766,3122,225846,0.311%,.08994,0.11,0.10
CheckNumber_V1_0_checkNumber,642,2323,718,2875,9722,35601,672,56501,0.000%,.08976,0.05,0.02
OrderManagement_V1_0_updateOrderDetails,641,3395,2135,3217,7310,34789,2110,50790,0.312%,.08962,0.05,0.17
PaymentManagement_V1_0_refund,322,2398,1125,2367,6319,35000,1088,45701,0.621%,.04508,0.03,0.10
ManagePrepaidBalance_1_0_lendMe,316,11688,9062,14738,26941,53964,8778,79585,1.899%,.04415,0.05,0.09
ManagePrepaidCard_V1_0_merchantSale,311,1796,876,1871,3888,21901,849,40000,0.000%,.04357,0.03,0.04
