Label,+ACM- Samples,Average,RT+AF8-Request hits,Avaerage+AF8-RT,Median,90+ACU- Line,95+ACU- Line,99+ACU- Line,Min,Max,Error +ACU-,Throughput,Received KB/sec,Sent KB/sec
ContactManagement+AF8-V1+AF8-0+AF8-getContact,19142,4135,18151,4358,3261,5175,6932,16331,709,142035,0.068+ACU-,2.65705,3.32,0.71
SubscriptionManagement+AF8-V1+AF8-0+AF8-getContact,29458,3394,,,2530,4537,6870,15907,2239,141991,0.061+ACU-,4.08877,4.75,1.12
IDMManagement+AF8-V1+AF8-0+AF8-login,26743,1342,25380,2150,407,2450,4442,13099,333,141267,0.101+ACU-,3.71355,13.51,4.2
BalanceManagement+AF8-1+AF8-0+AF8-balanceTopUp,15863,1695,15125,1299,1293,1815,2350,13660,513,141154,0.151+ACU-,2.20361,2.7,3.22
ProfileAndPermissionsMgmt+AF8-V1+AF8-0+AF8-getPermissions,25604,6313,24269,7092,4898,8545,12648,26228,796,144335,0.090+ACU-,3.55295,3.75,0.99
Communication+AF8-V1+AF8-0.notifyCustomer,10514,1870,10019,1364,1265,1776,2737,16932,49,139832,0.162+ACU-,1.46114,0.8,2.64
PartyInteractionManagement+AF8-V1+AF8-0+AF8-getPartyInteraction,5923,3949,,,3358,6012,9027,22852,725,141191,0.034+ACU-,0.82262,1.2,0.25
ManageTopup+AF8-1+AF8-0+AF8-getCurrentBalance,6337,1329,,,650,1502,2130,16034,630,139962,0.110+ACU-,0.87993,0.99,0.89
ManageTopup+AF8-1+AF8-0+AF8-topUp+AF8-2,6196,1761,,,1084,1786,2780,19470,975,133572,0.113+ACU-,0.8614,0.89,1.14
WorldPayNotification+AF8-V1+AF8-0+AF8-notify,3930,994,3774,111.83,366,635,1760,15864,335,140412,0.025+ACU-,0.54645,0.08,1.81
ProfileAndPermissionsMgmt+AF8-V1+AF8-0+AF8-getProfile,2436,5604,,,3977,9736,12995,27282,3303,69547,100.000+ACU-,0.67322,0.66,0.19
ManageHandsetDetails+AF8-1+AF8-0+AF8-trigger,2971,939,,,216,1148,3322,16599,130,60340,0.000+ACU-,0.82437,0.59,1.34
ProductOrderingManagement+AF8-V1+AF8-0+AF8-getOrder,19398,3684,,,2792,4136,5718,22595,1175,140318,0.067+ACU-,2.69324,2.58,0.74
ManageTopup+AF8-1+AF8-0+AF8-getTopupHistory,5167,1749,4945,1070,921,1887,2940,20074,877,138286,0.213+ACU-,0.71857,0.94,0.71
CreditVettingFraud+AF8-cvfEligibityCheck,2694,2260,2569,1260,1356,2337,3634,23923,1318,137602,0.148+ACU-,0.37475,0.41,1.84
ProductOrderingManagement+AF8-V1+AF8-0+AF8-modifyOrder+AF8-CHANGE,311,6643,638,11551,5388,7292,11313,27924,5208,62209,0.000+ACU-,0.086,0.04,0.04
PartyInteractionManagement+AF8-V1+AF8-0+AF8-createInteraction+AF8-Fusion+AF8-Flow,2558,2114,,,883,3526,7373,20611,792,130015,0.039+ACU-,0.3558,0.18,0.28
PartyInteractionManagement+AF8-V1+AF8-0+AF8-createInteraction+AF8-CustomerProblem+AF8-Flow,2357,3544,,,1822,6712,13832,26322,913,140148,0.212+ACU-,0.32781,0.23,0.25
ContactManagement+AF8-V1+AF8-0+AF8-createContact,2240,2504,2140,2166,1244,4353,7733,22572,1175,135134,0.045+ACU-,0.31168,0.17,0.71
AccountManagement+AF8-V1+AF8-0+AF8-getAccount,2306,6858,2197,8780,4646,10749,18081,32912,4005,136762,0.173+ACU-,0.32046,0.67,0.08
PaymentManagement+AF8-V1+AF8-0+AF8-getOrderKey,2104,2018,2007,1395,1100,2090,3811,23460,384,140261,0.143+ACU-,0.29288,0.28,0.72
PaymentManagement+AF8-V1+AF8-0+AF8-payment,3118,2152,2993,1421,1130,1969,3339,27815,1113,139708,0.128+ACU-,0.43402,0.33,0.82
AccountManagement+AF8-V1+AF8-0+AF8-getContacts,2138,2131,2048,4060,903,3921,7090,20950,795,140669,0.000+ACU-,0.29751,0.58,0.08
CreditVettingFraud+AF8-V1+AF8-0+AF8-cvfEligibityStatus,2863,5201,2732,4691,4167,5426,7602,27257,4006,136573,0.035+ACU-,0.39791,0.33,0.65
CVFDocumentVerification+AF8-V1+AF8-0+AF8-cvfDocumentStatus,2458,4303,2344,3794,3156,4446,7395,27663,3092,136490,0.122+ACU-,0.34172,0.28,0.31
SubscriptionManagement+AF8-V1+AF8-0+AF8-getAccount,2391,7179,,,5048,11254,18077,31315,4005,137198,0.125+ACU-,0.33228,0.72,0.09
SubscriptionManagement+AF8-V1+AF8-0+AF8-setContact,2246,1246,,,425,1631,3522,19397,377,127503,0.045+ACU-,0.31259,0.16,0.18
UsageConsumption+AF8-V1+AF8-0+AF8-usageConsumptionReport ,1146,1474,1115,659,489,1515,4479,22598,460,132656,0.000+ACU-,0.15975,0.5,0.05
SubscriptionManagement+AF8-V1+AF8-0+AF8-getSubscription,2065,4960,,,3461,6949,11626,26308,3180,140620,0.000+ACU-,0.28714,0.79,0.08
ProfileAndPermissionsMgmt+AF8-V1+AF8-0+AF8-updatePermissions,2004,8075,,,5638,12620,22420,34959,5141,161880,0.100+ACU-,0.27858,0.14,0.32
ManageAccount+AF8-1+AF8-0+AF8-getAccountDetails+AF8-2,1156,12738,1163,16239,9146,22001,34024,41070,7852,70192,0.000+ACU-,0.3197,0.62,0.24
ProductOrderingManagement+AF8-V1+AF8-0+AF8-createOrder,307,1332,332,296,269,1951,5522,17160,229,57869,0.000+ACU-,0.08575,0.03,0.16
PartyInteractionManagement+AF8-V1+AF8-0+AF8-closedCustomerProblem,1232,5115,1184,5487,3390,7129,11222,30465,3287,139816,0.081+ACU-,0.17167,0.05,0.09
IDMManagement+AF8-V1+AF8-0+AF8-getContacts,2375,10908,,,8282,16672,25958,44201,7513,147489,0.000+ACU-,0.32971,0.93,0.35
NumberPortability+AF8-V1+AF8-0+AF8-portIn,374,1553,,,703,1163,2567,15386,681,132084,0.000+ACU-,0.05219,0.02,0.03
WirelineManagement+AF8-V1+AF8-0+AF8-createMemo,176,931,,,195,608,1294,11445,163,55569,0.000+ACU-,0.02457,0.01,0.01
PaymentManagement+AF8-V1+AF8-0+AF8-validateBankAccount,175,1331,,,692,1670,2615,15996,622,18735,0.000+ACU-,0.02444,0.02,0.03
CustomerCreation+AF8-V1+AF8-0+AF8-createAccount,168,2968,184,1541,1393,2405,5138,26575,1346,129378,0.595+ACU-,0.02345,0.02,0.08
ManageUpgrade+AF8-1+AF8-0+AF8-getUpgradeEligibility,534,6851,559,23500,5340,8681,16009,29511,5128,67772,0.000+ACU-,0.14855,0.18,0.16
SubscriptionManagement+AF8-V1+AF8-0+AF8-changeStatus,219,1967,,,1183,2474,4261,22192,1138,29429,0.000+ACU-,0.03053,0.02,0.02
ManagePrepaidCard+AF8-V1+AF8-0+AF8-cardEnquiryMobile,766,2187,731,1258,1163,2074,3372,23197,1141,135758,0.131+ACU-,0.107,0.11,0.03
ContactManagement+AF8-V1+AF8-0+AF8-updateContact,458,2836,439,2078,1231,4616,8268,31854,1157,61454,0.000+ACU-,0.06398,0.03,0.04
ProductOfferingQualification+AF8-V1+AF8-0+AF8-getProductOfferingQualification,1009,6806,,,5584,9544,12962,30806,3672,61048,0.000+ACU-,0.14057,2.47,0.05
ABOXManagement+AF8-V1+AF8-0+AF8-changeStatus,170,2530,169,3365,1196,2213,3217,30826,1117,61688,0.000+ACU-,0.02374,0.02,0.03
BillPaymentManagement+AF8-V1+AF8-0+AF8-billPayment+AF8-ENS,141,2901,,,1794,2784,4248,19983,1735,63566,0.000+ACU-,0.01971,0.02,0.05
BillPaymentManagement+AF8-V1+AF8-0+AF8-billPayment+AF8-CRM,135,4982,,,3278,7049,11565,30608,3180,33455,0.000+ACU-,0.01886,0.02,0.04
WirelineManagement+AF8-V1+AF8-0+AF8-changeContract,158,5798,159,6561,4297,6538,10012,32785,4213,58199,0.000+ACU-,0.02205,0.01,0.01
WirelineManagement+AF8-V1+AF8-0+AF8-changeSubscriber,159,5477,159,6380,4282,5520,7162,31476,4206,45990,0.000+ACU-,0.02219,0.01,0.01
WirelineManagement+AF8-V1+AF8-0+AF8-updateSubscriberDetails,155,6521,155,6872,4298,5878,10901,39026,4006,138403,0.645+ACU-,0.02163,0.01,0.01
OrderManagement+AF8-V1+AF8-0+AF8-updateOrderDetails,628,3415,602,2844,2131,3133,4758,32285,2111,142496,0.318+ACU-,0.08784,0.05,0.17
ProductOrderingManagement+AF8-V1+AF8-0+AF8-modifyOrder+AF8-ADD,178,6310,,,4793,7650,15471,26899,4514,31995,0.000+ACU-,0.04986,0.02,0.03
CheckNumber+AF8-V1+AF8-0+AF8-checkNumber,648,1807,,,736,2038,4010,21742,668,137487,0.154+ACU-,0.09063,0.05,0.02
MangeAddOn+AF8-1+AF8-0+AF8-removeAddOn+AF8-2,133,6676,,,4988,9247,14761,31918,4674,34268,0.000+ACU-,0.03722,0.04,0.04
MangeAddOn+AF8-1+AF8-0+AF8-addAddOn+AF8-2,123,11159,,,8721,16503,27875,39344,663,53252,0.813+ACU-,0.03438,0.03,0.03
PaymentManagement+AF8-V1+AF8-0+AF8-refund,320,2692,327,2281,1127,2583,5825,33673,1084,140060,0.000+ACU-,0.04483,0.03,0.1
