Server,Transactions
ieo2wlzsoax01/10.142.4.18/soa_server1,36219
Total,36219

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
15/05/2019,06:30,thbs,BillingManagement_V1_0.billingAccount,22,135,4012,521
15/05/2019,06:45,thbs,SubscriptionManagement_V1_0.getContact,3,6097,13530,8627
15/05/2019,06:45,thbs,SubscriptionManagement_V1_0.getSubscription,2,16936,19421,18178
15/05/2019,07:00,thbs,SubscriptionManagement_V1_0.getContact,3,6139,6953,6432
15/05/2019,07:00,thbs,SubscriptionManagement_V1_0.getSubscription,5,8206,16476,11338
15/05/2019,07:15,thbs,SubscriptionManagement_V1_0.getContact,1,11469,11469,11469
15/05/2019,07:15,thbs,SubscriptionManagement_V1_0.getSubscription,1,12354,12354,12354
15/05/2019,07:30,thbs,SubscriptionManagement_V1_0.getAccount,4,5863,17093,11704
15/05/2019,07:45,thbs,SubscriptionManagement_V1_0.getAccount,7,5578,17877,11840
15/05/2019,08:00,MTPOS,ManagePrepaidCard_V1_0.validateCard,1,1493,1493,1493
15/05/2019,08:15,MTPOS,ManagePrepaidCard_V1_0.validateCard,2,1508,1533,1520
15/05/2019,08:15,thbs,SubscriptionManagement_V1_0.getAccount,8,1616,12481,8344
15/05/2019,08:15,thbs,SubscriptionManagement_V1_0.getSubscription,6,6550,16319,11672
15/05/2019,08:30,MTPOS,ManagePrepaidCard_V1_0.validateCard,2,1509,1522,1516
15/05/2019,08:45,thbs,SubscriptionManagement_V1_0.getSubscription,2,9313,10414,9864
15/05/2019,09:30,thbs,SubscriptionManagement_V1_0.getSubscription,1,9928,9928,9928
15/05/2019,10:00,thbs,SubscriptionManagement_V1_0.getSubscription,1,11922,11922,11922
15/05/2019,10:30,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,2,2937,3075,3006
15/05/2019,10:30,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,1,3063,3063,3063
15/05/2019,10:30,THBS,ManagePrepaidCard_V1_0.depositToCard,2,2947,3010,2978
15/05/2019,10:30,crm,PaymentManagement_V1_0.refund,1,3030,3030,3030
15/05/2019,10:30,soaag,BalanceManagement_1_0.balanceTopUp,2,6718,14563,10640
15/05/2019,10:30,thbs,ManageOrderShipment_V1_0.createShipment,1,1584,1584,1584
15/05/2019,10:30,thbs,ProductOrderingManagement_V1_0.createOrder,1,162,162,162
15/05/2019,10:30,thbs,UsageConsumption_V1_0.usageConsumptionReport,1,3535,3535,3535
15/05/2019,10:45,ABC,ManageOrderShipment_V1_0.createShipment,1,1252,1252,1252
15/05/2019,10:45,THBS,CheckNumber_V1_0.checkNumber,10,2309,52017,29874
15/05/2019,10:45,THBS,Communication_V1_0.notifyCustomer,38,191,4644,374
15/05/2019,10:45,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,13,783,2282,947
15/05/2019,10:45,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,12,791,4161,1489
15/05/2019,10:45,THBS,ManagePrepaidCard_V1_0.depositToCard,15,760,2313,1154
15/05/2019,10:45,THBS,ManagePrepaidCard_V1_0.merchantSale,9,784,2800,1203
15/05/2019,10:45,THBS,ManagePrepaidCard_V1_0.validateCard,14,1507,4619,2097
15/05/2019,10:45,THBS,WirelineManagement_V1_0.lineCapabilities,6,1425,31882,6627
15/05/2019,10:45,THBS,WirelineManagement_V1_0.lineOrderStatus,4,1449,7857,3273
15/05/2019,10:45,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,15,247,25865,8322
15/05/2019,10:45,crm,PaymentManagement_V1_0.getOrderKey,15,1059,5839,1690
15/05/2019,10:45,crm,PaymentManagement_V1_0.payment,19,1070,8985,2131
15/05/2019,10:45,crm,PaymentManagement_V1_0.refund,3,1067,5829,4238
15/05/2019,10:45,soaag,BalanceManagement_1_0.balanceTopUp,34,946,7109,1520
15/05/2019,10:45,soaag,CreditVettingFraud_V1_0.cvfEligibityCheck,18,1072,2793,1300
15/05/2019,10:45,soaag,CustomerCreation_V1_0.createAccount,10,1337,18106,4803
15/05/2019,10:45,soaag,ManageTopUp_1_0.getCurrentBalance_1,20,627,4091,1466
15/05/2019,10:45,soaag,ManageTopUp_1_0.getTopUpHistory_1,18,876,18279,3104
15/05/2019,10:45,soaag,ManageTopUp_1_0.topUpBillContract_1,15,1900,25866,6119
15/05/2019,10:45,soaag,ManageTopUp_1_0.topUp_2,18,1052,5831,2172
15/05/2019,10:45,thbs,BillingManagement_V1_0.billingAccount,9,1111,9578,2810
15/05/2019,10:45,thbs,ManageOrderShipment_V1_0.createShipment,10,1140,4438,1635
15/05/2019,10:45,thbs,OrderManagement_V1_0.updateOrderDetails,13,2103,7620,3683
15/05/2019,10:45,thbs,ProductOrderingManagement_V1_0.createOrder,6,163,9418,1731
15/05/2019,10:45,thbs,SubscriptionManagement_V1_0.getSubscription,1,8453,8453,8453
15/05/2019,10:45,thbs,UsageConsumption_V1_0.usageConsumptionReport,13,1217,12013,3947
15/05/2019,11:00,THBS,CheckNumber_V1_0.checkNumber,8,1097,34979,14279
15/05/2019,11:00,THBS,Communication_V1_0.notifyCustomer,4,231,334,283
15/05/2019,11:00,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,7,783,926,858
